Image,LBP_R_1_P_8_energy,LBP_R_1_P_8_entropy,LBP_R_2_P_16_energy,LBP_R_2_P_16_entropy,LBP_R_3_P_24_energy,LBP_R_3_P_24_entropy,Label
a14_1(14).jpg,6.2143822687943135,-1.7427253610644278,13.915792659833205,-2.565550485632133,22.055979496595292,-3.043867673604451,dry
a14_1(15).jpg,6.26985691737765,-1.7520067960365657,14.059223624092445,-2.5777718542710106,22.282461104953338,-3.056679163901191,dry
a14_1(16).jpg,6.237180271526186,-1.7463592173188833,13.974047474206367,-2.57053647668189,22.14088317966654,-3.048659870761746,dry
a14_1(17).jpg,6.260423074909913,-1.750218823790973,13.992508588571152,-2.5722185109055715,22.143277858759586,-3.048766300795234,dry
a14_1(18).jpg,6.297525089502545,-1.7560785416500653,14.10741085423785,-2.5817853278262723,22.30773303132002,-3.0579733366642556,dry
a14_1(19).jpg,6.244924730095527,-1.74672542882814,13.995630946939164,-2.5720064093779977,22.183729247753426,-3.050746651298841,dry
a14_1(2).jpg,6.195227381401098,-1.7392789460574694,13.871966205790274,-2.561612291969233,22.019525689010372,-3.041210111510555,dry
a14_1(20).jpg,6.211213545486171,-1.7416750168982897,13.910045946328479,-2.5648129290500585,22.067518927274342,-3.0439144808634624,dry
a14_1(21).jpg,6.036379497254747,-1.7149372826367162,13.574500299832541,-2.5362756177842622,21.703110161845945,-3.022763394632443,dry
a14_1(22).jpg,6.167904135980434,-1.7355470518812446,13.829522485466224,-2.5580632823555955,22.002757052353996,-3.040165017282672,dry
a14_1(23).jpg,6.1466081291407635,-1.7318294520153514,13.79898031761604,-2.555077062914793,21.93301017675614,-3.035875541629296,dry
a14_1(24).jpg,6.169803854448362,-1.7350990226819076,13.876530025967778,-2.5618478125740634,22.078399266306718,-3.04455355028171,dry
a14_1(25).jpg,6.189960691588327,-1.7390946653122892,13.895030142876994,-2.563466061933537,22.075650508750705,-3.044490673805585,dry
a14_1(26).jpg,6.180068487160707,-1.7372607425195137,13.88944122160101,-2.5631093264127633,22.083613801056902,-3.0447460708715366,dry
a14_1(27).jpg,6.127039119403589,-1.7284796714285933,13.774154767984538,-2.5531320674930136,21.95198519360323,-3.0370836283849267,dry
a14_1(28).jpg,6.190983136086588,-1.7386042216985629,13.94103319452273,-2.5673329593239633,22.173910236967277,-3.0501905508933946,dry
a14_1(29).jpg,6.16143094248522,-1.733598719594465,13.839212008250794,-2.558513796741109,21.979900128293107,-3.038757951301696,dry
a14_1(3).jpg,6.179503354621002,-1.7369059075371467,13.863093159561354,-2.5606794570198916,22.02275588278101,-3.041429861477183,dry
a14_1(30).jpg,6.176702773797996,-1.7367311605226412,13.876715759913363,-2.5621035077382097,22.029269209827465,-3.0420080282445205,dry
a14_1(31).jpg,6.136218966185408,-1.7297202437111545,13.779358049963031,-2.553356748281235,21.939472978137573,-3.0360754997420236,dry
