Image,GLRLM_ShortRunEmphasis,GLRLM_LongRunEmphasis,GLRLM_GrayLevelNo-Uniformity,GLRLM_RunLengthNonUniformity,GLRLM_RunPercentage,GLRLM_LowGrayLevelRunEmphasis,GLRLM_HighGrayLevelRunEmphasis,GLRLM_Short owGrayLevelEmphasis,GLRLM_ShortRunHighGrayLevelEmphasis,GLRLM_LongRunLowGrayLevelEmphasis,GLRLM_LongRunHighGrayLevelEmphasis,Label
51_51.jpg,0.9491913590307428,1.2637213137874639,15698.781008012125,1686314.7389105342,3.9323212826797387,83089046698.69424,15340.102597922938,83089046698.69424,14493.608815741334,1.0,19837.081815534006,wet
51_52.jpg,0.9472791117456203,1.2674759940592515,15688.946066360386,1674310.508390895,3.9241217320261437,52057875855.675125,14414.218845867215,52057875855.67512,13593.503598576755,1.0,18640.820134236514,wet
51_53.jpg,0.9522559826127193,1.2439372883072621,15151.672322848552,1707904.573635492,3.9513214869281046,90441736839.84775,13974.40636172353,90441736839.84775,13264.688544002887,1.0,17649.305724734644,wet
51_54.jpg,0.9479119555158492,1.2687373375392976,14819.766595166295,1677967.2274652815,3.9257358047385624,126163388252.72461,13974.023867527076,126163388252.72461,13185.453378115184,1.0,18136.305167247236,wet
51_55.jpg,0.9483276173578623,1.2645717947313204,14120.569232408758,1681035.4483368774,3.9289062500000003,207949534151.6101,14089.146427231037,207949534151.6101,13313.26108453075,1.0,18124.092990077574,wet
51_56.jpg,0.9498492324618919,1.254354758898642,14421.951804970893,1691704.557936933,3.938469158496732,68740998805.39989,14541.209728715032,68740998805.39989,13759.03871154813,1.0,18561.924809479107,wet
51_57.jpg,0.9470884789361207,1.269562199736737,14205.631115106858,1672835.6838100653,3.922549530228758,67702254876.56864,14501.50909067077,67702254876.568634,13668.365946144917,1.0,18829.796886652308,wet
51_58.jpg,0.9504216144684601,1.2525110001512951,13606.460507374763,1695435.537753122,3.9412040441176472,203383288976.12607,14374.563532445318,203383288976.12607,13605.836391454774,1.0,18367.05477785851,wet
51_59.jpg,0.9485213943836814,1.2635302482907516,15160.88203486225,1682423.940844711,3.9301797385620914,83164910949.6559,14244.553544988876,83164910949.6559,13470.450262927956,1.0,18270.724332294063,wet
51_6.jpg,0.9496149259508497,1.2549922031682008,13976.37520196969,1690286.8857754397,3.9375439133986934,216505263808.75726,14139.32887799187,216505263808.75726,13379.549068099126,1.0,18064.765102759906,wet
51_60.jpg,0.9475437865446359,1.2667317941293414,15794.033449614406,1676077.1771578386,3.9254810049019606,26020130157.21298,14590.490312759885,26020130157.212967,13774.086161872177,1.0,18801.787099954865,wet
51_61.jpg,0.9494606365563871,1.25672250639934,14894.369334066316,1689052.136525536,3.9362096609477124,83036390100.261,14251.454586419295,83036390100.261,13484.260329927482,1.0,18198.095487876144,wet
51_62.jpg,0.9471363370085276,1.2703514802179594,15328.860271379941,1673012.7245868351,3.9223371119281047,128843961222.93811,14052.387524295264,128843961222.93811,13249.63472790681,1.0,18232.889992397177,wet
51_63.jpg,0.9515994455642398,1.2432126911960588,16330.430171630403,1704074.1190793093,3.949437295751634,91793872589.31642,15045.00162537795,91793872589.31642,14259.982324052033,1.0,19059.03754327513,wet
51_64.jpg,0.946791029631882,1.2738004097257336,15739.437643955287,1670569.9988668663,3.9199295343137255,145851615548.24316,14015.376975262132,145851615548.24313,13216.551996365924,1.0,18194.633463195096,wet
51_65.jpg,0.9473913134171218,1.268733859410491,14903.143534921088,1674734.5049371952,3.923890420751634,130150163190.35948,15474.04003263497,130150163190.35948,14612.043375219171,1.0,19922.477489383098,wet
51_66.jpg,0.950594527601798,1.2514684318227562,14904.620872086034,1696687.1493484557,3.9423999183006537,66079931673.15182,14263.644670329086,66079931673.15181,13497.870866436046,1.0,18261.626988539065,wet
51_67.jpg,0.9456444947898731,1.281333116613993,14885.829917997953,1662557.0423221793,3.9125536151960785,108318143591.26608,15595.46656643732,108318143591.26608,14708.647809910475,1.0,20210.95230991619,wet
51_68.jpg,0.9494572934148411,1.2577852015797895,14984.716323453838,1688863.3005035105,3.9357894199346406,141396922505.20004,14927.947867605986,141396922505.20004,14111.446260975503,1.0,19156.220134604137,wet
51_69.jpg,0.9505122114359592,1.2541749384731937,15031.0475254383,1695817.2004320044,3.940797079248366,191722699871.15924,14839.949036702335,191722699871.15924,14031.067832980134,1.0,19099.789400110865,wet
51_7.jpg,0.9489344393600269,1.2547614637262203,13350.984845419625,1686274.6970893512,3.935565257352941,124575245116.27896,14168.166734625398,124575245116.27893,13406.686136673248,1.0,18015.94609453748,wet
51_70.jpg,0.9485106224131283,1.2628485512027687,15792.785293135117,1682378.9436102055,3.930265012254902,188317273750.1671,14558.361225098739,188317273750.1671,13757.251153804365,1.0,18715.38575852674,wet
51_71.jpg,0.9476786317015718,1.2712502590013215,15746.875955616631,1676086.5460085343,3.923624387254902,108015543601.0804,14857.122335105048,108015543601.0804,14008.47256943781,1.0,19339.372457138816,wet
51_72.jpg,0.9485533360940597,1.2586626753569083,14990.109672145314,1683340.625926572,3.9324280024509806,107771499677.02834,14152.758496668073,107771499677.02834,13368.245323696397,1.0,18165.48132426248,wet
51_73.jpg,0.9457536296140292,1.281010465594431,15515.77452198476,1663328.45370339,3.9132337622549023,159187394625.40155,14233.078028122873,159187394625.40155,13399.497464752956,1.0,18631.674955084603,wet
51_74.jpg,0.9432839202793686,1.2923097810477107,14027.333828901044,1647154.242323566,3.9001506331699343,77238086159.22157,15102.313971791456,77238086159.22157,14171.723138751191,1.0,19985.886181601418,wet
51_75.jpg,0.9468037842997281,1.272492632177709,15823.591273761973,1670766.711553535,3.920298202614379,268302670955.48013,14591.143856222994,268302670955.48013,13764.770964703312,1.0,18887.08134447785,wet
51_76.jpg,0.9481073182407673,1.27075040371315,16264.062104521456,1678761.3398887326,3.925450878267974,169099393953.08734,14646.866687926127,169099393953.08734,13831.346190314158,1.0,18978.367957794806,wet
51_77.jpg,0.946220992093028,1.2769202698046758,15019.263933296419,1666550.7624814825,3.9164588439542483,264662964127.313,13975.496263651185,264662964127.313,13172.085074829627,1.0,18171.2048363351,wet
51_78.jpg,0.9452528521651302,1.2860658072106959,13767.865687077505,1659455.9376238005,3.909047691993464,300348158938.8814,15235.731976350284,300348158938.8814,14334.389032819061,1.0,20035.128927357302,wet
