Image,LBP_R_1_P_8_energy,LBP_R_1_P_8_entropy,LBP_R_2_P_16_energy,LBP_R_2_P_16_entropy,LBP_R_3_P_24_energy,LBP_R_3_P_24_entropy,Label
29_21.jpg,6.278946924287215,-1.752436215581125,13.926590295218187,-2.565791698030577,21.997557134233524,-3.039271496840067,medium
29_22.jpg,6.321400827839618,-1.7590565361177881,14.045270408896927,-2.5756557787185836,22.200952455732537,-3.051136418227622,medium
29_23.jpg,6.290622103480285,-1.7539446512452488,13.944386218334374,-2.567086937623014,22.03632133196969,-3.0415401059339717,medium
29_24.jpg,6.3130392584581525,-1.7574329006618108,14.000663751956075,-2.5719659199495117,22.119085428370724,-3.046559156459705,medium
29_25.jpg,6.262331132436887,-1.7493816134643958,13.914774556334494,-2.564135274952152,22.013006335339817,-3.0399431646170365,medium
29_26.jpg,6.254860259850882,-1.748047658255076,13.89519550325324,-2.5627957324417507,22.025848909650126,-3.0407983237307072,medium
29_27.jpg,6.271586469352088,-1.7512487836124129,13.886344228168543,-2.5621362739133997,21.95350543805248,-3.0365537489843857,medium
29_28.jpg,6.285170662005513,-1.7526619435936974,13.930360397222502,-2.5654490351714503,22.05078939913897,-3.0422241528529903,medium
29_29.jpg,6.298873907416815,-1.755316862479925,13.947570624342006,-2.5670572357598833,22.022930748215412,-3.040504261725291,medium
29_3.jpg,6.331000971289971,-1.7604576571497828,14.093825712630865,-2.5796172499868373,22.26167135072962,-3.0546866770068015,medium
29_30.jpg,6.259699599784552,-1.749135327386454,13.831036739797824,-2.557189973801046,21.894299552753754,-3.0332256496315924,medium
29_31.jpg,6.29149239559901,-1.7540549923514075,13.938711654286957,-2.5664702908581156,22.007585513583045,-3.0399794536694467,medium
29_32.jpg,6.2906266245342435,-1.7540478945614124,13.934802004729784,-2.5659167621798504,22.03900828452264,-3.0413843778315774,medium
29_33.jpg,6.2794595510919065,-1.7522319361956882,13.878407337444678,-2.561499706394746,21.95063048356873,-3.0366944784054586,medium
29_34.jpg,6.329389337084001,-1.7601754771392186,14.006554804365763,-2.5722055820818635,22.11122942543332,-3.045792135738219,medium
29_35.jpg,6.3929818432221825,-1.7708922176264787,14.19085654367758,-2.58823664768576,22.372406532776854,-3.0611796516711545,medium
29_36.jpg,6.294114360317586,-1.7543493379738486,13.998097825758665,-2.5714204117453208,22.134550056629816,-3.047034692298708,medium
29_37.jpg,6.33773896944385,-1.7619305690124016,14.051634784723692,-2.576453907285267,22.170449389852326,-3.04939704223538,medium
29_38.jpg,6.305358480288691,-1.7559587214142192,14.030249148903875,-2.5744659634636395,22.160750659883284,-3.048909891969716,medium
29_39.jpg,6.336605674307187,-1.7611045084925219,14.04691361593706,-2.575555828960721,22.161081348799314,-3.048524140892592,medium
29_4.jpg,6.307590609669971,-1.756829647401372,13.956895242233536,-2.5680783311934414,22.05210500371637,-3.0424773982961835,medium
29_40.jpg,6.248564767982493,-1.747138255677019,13.85797423233331,-2.559657700929396,21.934663326479782,-3.0355966600717426,medium
29_5.jpg,6.336721602215605,-1.7614493530722968,14.040042219699497,-2.5751370533532394,22.16862684775186,-3.049442606041457,medium
29_6.jpg,6.270201232632621,-1.7505755977744195,13.877970966703758,-2.561605881680602,21.925261175696377,-3.035409007758426,medium
29_7.jpg,6.302741203524695,-1.7563317938521203,13.939454886417298,-2.566715948929849,22.000980285011245,-3.0396981441611035,medium
29_8.jpg,6.316523119537133,-1.7578842217670791,14.036544918497604,-2.5746321161449925,22.166542319823254,-3.0487186578388927,medium
29_9.jpg,6.331018440070111,-1.7607617091458319,13.986527947574238,-2.570667256409621,22.062618910818312,-3.043231944945505,medium
31_1.jpg,6.208024249210309,-1.7403194961186776,13.755062499885037,-2.5507430754837,21.791139897766616,-3.026973190196241,medium
31_10.jpg,6.218651633538046,-1.7419772211348254,13.742977644076605,-2.549306840227024,21.772136676723402,-3.0255076739151026,medium
31_11.jpg,6.237378150800467,-1.7449499777542317,13.7411076147168,-2.549453952189125,21.759743111424566,-3.0252237376668214,medium
31_12.jpg,6.233717444289098,-1.7447297582380616,13.746224271513446,-2.549915414060227,21.761986839301127,-3.025381945792309,medium
31_13.jpg,6.240477434293903,-1.7451714129334475,13.80660954899739,-2.5547626574825286,21.89784421616084,-3.0327443047327747,medium
31_14.jpg,6.235369922719867,-1.7448509601868767,13.756102500500173,-2.5506446918404313,21.788425689341885,-3.026697990229412,medium
31_15.jpg,6.2718753489841665,-1.751138067177062,13.840302989256575,-2.5581504418731957,21.875647002782006,-3.032084510861524,medium
31_16.jpg,6.255584260717763,-1.7481458017268243,13.798830356504943,-2.5545181954110916,21.816262064865903,-3.0287998937994205,medium
31_17.jpg,6.234620299191829,-1.7444626063727595,13.795461049520581,-2.5537386788296215,21.85650786261353,-3.030663640998351,medium
31_18.jpg,6.243460561186853,-1.7462324967387048,13.77762723551434,-2.5526230289752982,21.828038617848254,-3.0290877791847826,medium
31_19.jpg,6.2383866462225654,-1.745613256314584,13.751510128727315,-2.550648908697278,21.751631610739885,-3.024860745529937,medium
31_2.jpg,6.167980229854075,-1.7340106915349325,13.63147682532468,-2.540034612629917,21.625376099058126,-3.0171674916604574,medium
31_20.jpg,6.236121630599361,-1.7450661177295224,13.782711067188961,-2.553215246447359,21.821094075304924,-3.028833284288286,medium
31_21.jpg,6.321089489517198,-1.7589669436738318,13.99058091915211,-2.570850721971665,22.085290381355044,-3.0444169002057224,medium
31_22.jpg,6.294895573486522,-1.7546275471306358,13.927231107980047,-2.5656302074013113,21.98152573520928,-3.038246241151924,medium
31_23.jpg,6.309302705956688,-1.7572488269654514,13.920942207591139,-2.5652303719723446,21.94784716611726,-3.0366358231556525,medium
31_24.jpg,6.303310319302667,-1.7556736482598985,13.949688350045568,-2.5672186133571975,22.023436636863728,-3.0404004397448414,medium
31_25.jpg,6.2770730967981105,-1.7514606987038919,13.862902304584036,-2.559901173537123,21.932849475877763,-3.0352954730151467,medium
31_26.jpg,6.295839019684412,-1.7549573979623554,13.895277309467387,-2.562934702214605,21.92023182418002,-3.035059119896438,medium
31_27.jpg,6.2941231785055995,-1.7544296742709475,13.910277853891127,-2.564137167755281,21.98619254118405,-3.0385237327276866,medium
31_28.jpg,6.276553255194568,-1.7515838505548518,13.831414188693856,-2.5572542763423973,21.868332511062505,-3.0315709038405236,medium
