Image,LBP_R_1_P_8_energy,LBP_R_1_P_8_entropy,LBP_R_2_P_16_energy,LBP_R_2_P_16_entropy,LBP_R_3_P_24_energy,LBP_R_3_P_24_entropy,Label
30_25.jpg,5.985927285563007,-1.701478940950139,13.54386201557846,-2.530556301774388,21.71130730672353,-3.020697551663508,medium
30_26.jpg,5.892036301282739,-1.6865565127941453,13.382187974848526,-2.516815521978342,21.544617586017733,-3.010814102523086,medium
30_27.jpg,6.032737950561601,-1.7087075554816322,13.651885685305439,-2.5396472520234954,21.852673696922093,-3.028832538444036,medium
30_28.jpg,5.964278695176973,-1.697832209386583,13.524580833039181,-2.528875828705955,21.72857133903003,-3.0215958693463763,medium
30_29.jpg,5.951538287776335,-1.6955938249143718,13.517135352549738,-2.528025715303019,21.705244395321944,-3.0200788968949253,medium
30_3.jpg,5.85748212767657,-1.6805626936107045,13.297164582949357,-2.5093368873629323,21.48512740073181,-3.0070173487297374,medium
30_30.jpg,5.968067157817612,-1.6978119178576303,13.564519134993281,-2.5315604317949725,21.788476053857107,-3.024341359370338,medium
30_31.jpg,6.038093777739639,-1.709592541615889,13.659340659340659,-2.5401359938453747,21.902117531673404,-3.031395519253063,medium
30_32.jpg,5.996958284949899,-1.703052520886718,13.58506882908067,-2.534229137615902,21.778793999277344,-3.024786524247196,medium
30_33.jpg,5.975965648846865,-1.6994544558250368,13.54533329430866,-2.530405510304613,21.748328827244027,-3.02245441270859,medium
30_34.jpg,6.065962542561286,-1.71425269743493,13.700439434995282,-2.5438997494174793,21.895036347315536,-3.031070464113615,medium
30_35.jpg,5.952162509890067,-1.696158086555939,13.51487054929635,-2.5283531093709537,21.681714099909296,-3.0190216884013514,medium
30_36.jpg,5.907599476015788,-1.6885332350968134,13.379169859875988,-2.5163755791304254,21.50062389875476,-3.0082781446502205,medium
30_37.jpg,5.938412724499678,-1.6937894932942066,13.452409526449912,-2.5228130204211805,21.610625828793008,-3.0147394149525306,medium
30_38.jpg,5.934035742013705,-1.692864497855887,13.449781649717615,-2.5224268734817437,21.58142388985418,-3.0130153888407203,medium
30_39.jpg,5.905878242492416,-1.6884808786529095,13.403204386781255,-2.5186610713658397,21.542516116085697,-3.0106812844332542,medium
30_4.jpg,5.898979581675432,-1.6870563589226366,13.37307782906255,-2.51571684350566,21.5279626348291,-3.009421788795257,medium
30_40.jpg,5.962169333497402,-1.697478418898212,13.536087955287465,-2.5298629762333595,21.71076536515943,-3.0203738160272975,medium
30_5.jpg,5.890745321257201,-1.6859024880949225,13.385417574344801,-2.516882495131382,21.554441973660598,-3.0110202839325506,medium
30_6.jpg,5.936491245473935,-1.6933974632244835,13.456570174217791,-2.5228578228621914,21.61745220229152,-3.0147472400163458,medium
30_7.jpg,5.902081076117242,-1.6870365982583906,13.439024220030758,-2.5212055466120606,21.628414460749557,-3.015232001549387,medium
30_8.jpg,5.928958350890437,-1.692470162440721,13.493241593243676,-2.526282579913478,21.673265741362734,-3.018144222002683,medium
30_9.jpg,5.930111641339241,-1.691988180215309,13.459905075306922,-2.5231235812241035,21.65993489844876,-3.017130169132334,medium
35_1.jpg,5.928635287183694,-1.6916176306899209,13.410933080202195,-2.5187585481788015,21.57278264522899,-3.0118590198544677,medium
35_10.jpg,5.919315590919516,-1.6903602856031383,13.382245512375434,-2.5167127566379883,21.456137089528212,-3.005634165347511,medium
35_11.jpg,5.979015146106524,-1.6999943215636986,13.486879447611466,-2.5255953944291054,21.629632225238293,-3.0154076044616525,medium
35_12.jpg,5.968190437256831,-1.6983209253621567,13.429296783626194,-2.520537911322584,21.53884071768653,-3.0104131097102624,medium
35_13.jpg,5.970361359429041,-1.6986028683036438,13.447147580723941,-2.5222420629711304,21.583003307688525,-3.0128405142502084,medium
35_14.jpg,5.973752802512407,-1.699350071436938,13.4510506807107,-2.522591875582258,21.558144393125975,-3.011498231324158,medium
35_15.jpg,5.973462639639652,-1.6994823022619319,13.46259329632449,-2.5237779062145838,21.585510662520342,-3.013160839362276,medium
35_16.jpg,5.958813537471152,-1.6966794588191982,13.42191467975157,-2.5200139098084295,21.542173503809476,-3.010369633194619,medium
35_17.jpg,5.983322185596748,-1.7008089024098294,13.500279429396981,-2.526717120746268,21.645862200289315,-3.016644280947651,medium
35_18.jpg,5.863153698298569,-1.6813134432231012,13.192682357258427,-2.500819452615439,21.19740389411988,-2.9907837778215587,medium
35_19.jpg,5.956184546794196,-1.6963732966836473,13.429753254159266,-2.520830345904769,21.565879533811923,-3.0120779618325,medium
35_2.jpg,5.968797158903672,-1.6985028162537859,13.438799321573434,-2.5213225478485106,21.576767155753206,-3.012261467188531,medium
35_20.jpg,5.92691745442532,-1.6919894095607464,13.396718004761917,-2.518223217508246,21.51174678439203,-3.008831906912041,medium
35_21.jpg,6.0212500343447,-1.7068670917710425,13.579693808756414,-2.5337868587290373,21.749494735972792,-3.022909817104915,medium
35_22.jpg,5.983277625102949,-1.700317230891736,13.536465089603388,-2.5296115178688408,21.727539618641774,-3.020899478688368,medium
35_23.jpg,6.03368569315821,-1.708836270348806,13.5839138516826,-2.5338328851710425,21.722178375160016,-3.0208472229942944,medium
35_24.jpg,5.965958994549872,-1.6979243044180952,13.510391167798899,-2.527383318214457,21.68316619301459,-3.01847212787346,medium
35_25.jpg,5.974040324844128,-1.699413838413384,13.486784302806107,-2.5256309979659872,21.62728329319255,-3.015489706499285,medium
35_26.jpg,5.968072957510043,-1.6984771052251,13.458217504152168,-2.5232368125698357,21.584860389282646,-3.0131640743651844,medium
35_27.jpg,5.911522149836902,-1.6891141955454596,13.348120794991248,-2.513591953420036,21.450828618959406,-3.004824197501036,medium
35_28.jpg,5.931289337995825,-1.6917324290276003,13.447735521345065,-2.521598568013791,21.636090701903218,-3.0152493139135337,medium
35_29.jpg,5.921335916914528,-1.6906918282976524,13.42326682062491,-2.5201330155210813,21.584805536808396,-3.0126662954893395,medium
35_3.jpg,5.99245354398288,-1.7024683625915027,13.544767135963129,-2.530375329678619,21.704497420820324,-3.019674752351907,medium
35_30.jpg,6.009165197229202,-1.7048016011096931,13.554182138416452,-2.531146620891132,21.711210560575527,-3.020121910767312,medium
35_31.jpg,6.007205993829881,-1.7048457275583608,13.59667613170749,-2.535293824660467,21.79505189703202,-3.0255627005085133,medium
