Image,GLRLM_ShortRunEmphasis,GLRLM_LongRunEmphasis,GLRLM_GrayLevelNo-Uniformity,GLRLM_RunLengthNonUniformity,GLRLM_RunPercentage,GLRLM_LowGrayLevelRunEmphasis,GLRLM_HighGrayLevelRunEmphasis,GLRLM_Short owGrayLevelEmphasis,GLRLM_ShortRunHighGrayLevelEmphasis,GLRLM_LongRunLowGrayLevelEmphasis,GLRLM_LongRunHighGrayLevelEmphasis,Label
29_18.jpg,0.9223916675566037,1.4409329088216514,13774.47202636263,1509236.948835919,3.7695863970588235,478094595305.94257,14622.94857192786,478094595305.94257,13428.304104837636,1.0,21511.811360832085,medium
29_19.jpg,0.9190020644552701,1.471546132704101,15058.22319748818,1487395.5512096258,3.7468688725490193,633539939789.8234,14150.050665002807,633539939789.8234,12904.55618376627,1.0,21587.612856669733,medium
29_2.jpg,0.9188459106123562,1.4744445263668848,14839.092821138616,1486039.140884277,3.7449703839869284,804214711046.1917,15016.220480344138,804214711046.1917,13709.823222755182,1.0,22818.216786646226,medium
29_20.jpg,0.9163840315740813,1.4813631456401533,15963.708123561395,1472378.6987717317,3.7347298815359475,583913037934.8423,14732.815009962284,583913037934.8423,13422.493793049063,1.0,22382.492028982782,medium
29_21.jpg,0.9244647833477782,1.4324330674885248,14420.145886997647,1521540.879637197,3.779579758986928,573963984940.7744,14388.119146840314,573963984940.7744,13206.327206863494,1.0,21322.003898230832,medium
29_22.jpg,0.924553576555845,1.4237194722115103,15770.787027667184,1523447.2899486914,3.7836943423202616,376513993109.9015,15017.071098509925,376513993109.9015,13799.63976120656,1.0,21976.493802167322,medium
29_23.jpg,0.924000550134935,1.4318382372204517,15372.294621323574,1519019.4802673864,3.7782776756535945,666473756595.1433,14512.066578052352,666473756595.1433,13321.988137615266,1.0,21427.0082317247,medium
29_24.jpg,0.9188022015110775,1.4691995723065707,15778.075425863008,1486517.0699292342,3.746811683006536,493435843198.95483,15762.915992960741,493435843198.95483,14380.518961196387,1.0,23918.964132957288,medium
29_25.jpg,0.9213050927888821,1.4503974806667606,14759.889994346131,1502374.6333851689,3.762672079248366,540296959251.6706,14527.966088084813,540296959251.6706,13341.525390254415,1.0,21319.400953997316,medium
29_26.jpg,0.9207804532175072,1.4595967746842977,14980.748213300203,1498341.0061221144,3.7573044321895424,694252782289.8573,13929.505289196102,694252782289.8572,12760.23822005298,1.0,20783.006143127302,medium
29_27.jpg,0.9192345647055368,1.4753559492911397,16387.606501278984,1488094.0488627066,3.745916564542484,328597219111.44165,14783.606985293256,328597219111.44165,13510.119369681228,1.0,22388.571515932414,medium
29_28.jpg,0.9233432348034945,1.437050996432464,14623.335668417392,1514920.2201038336,3.774127348856209,603372186023.4285,15041.919138673526,603372186023.4285,13788.392993845246,1.0,22377.827959771123,medium
29_29.jpg,0.9199013282954285,1.4708181608719693,14821.887630380761,1492530.7615193822,3.7502742034313723,260223484769.16467,14598.071263946602,260223484769.16467,13327.796407259575,1.0,22218.542315138435,medium
29_3.jpg,0.9195809056961299,1.4636586738777986,15039.149452672771,1491546.6168971001,3.7518520220588236,734563117016.9868,15539.70539089671,734563117016.9868,14179.521225848513,1.0,23570.62758254234,medium
29_30.jpg,0.9252712534525696,1.4251616174124042,13609.910251732312,1527127.4157702369,3.785520833333333,489712752268.3644,15600.902536877082,489712752268.3644,14347.185063316578,1.0,22882.203536089968,medium
29_31.jpg,0.9184700413661482,1.4769112812011271,15178.568615830323,1483781.0815450998,3.742998876633987,427086815882.51685,14719.82909429672,427086815882.51685,13423.14036460577,1.0,22454.455119074777,medium
29_32.jpg,0.9181555252678929,1.487503694874616,15279.070041909286,1480765.2851686922,3.737783394607843,930374232068.0981,14134.30511595799,930374232068.0981,12908.15737453294,1.0,21509.03998914342,medium
29_33.jpg,0.9190565209821894,1.4719856811484162,15966.834104373462,1487565.8457046195,3.7468392565359476,730219833811.8553,13866.86671772142,730219833811.8553,12672.219074028308,1.0,20928.766875359095,medium
29_34.jpg,0.9207929562376581,1.45786968247533,16132.107406483687,1498417.7840534165,3.757680249183007,434706323156.1039,14539.433058877545,434706323156.1039,13308.090558583091,1.0,21803.13688910529,medium
29_35.jpg,0.9188323786876519,1.4709102992453382,16372.846615656763,1486510.1976004862,3.7463010620915034,505813574113.89417,14338.466316979124,505813574113.89417,13093.82434848127,1.0,21689.43771789252,medium
29_36.jpg,0.9169577814480602,1.4863950721858075,14676.665869887815,1474877.6153300812,3.7347441789215687,645203365789.122,14497.490641302487,645203365789.122,13218.519368959822,1.0,22113.749656611166,medium
29_37.jpg,0.9201990622041201,1.4547113723382783,15318.478493111677,1495641.3329838081,3.7567693014705883,606273981119.597,13764.284762933103,606273981119.597,12596.335542326367,1.0,20494.332403281314,medium
29_38.jpg,0.9214994342101663,1.4506454620182132,15623.66262389234,1503447.9154953775,3.763385927287582,253732238966.32147,14092.789780128951,253732238966.32147,12896.781250626984,1.0,21126.429899800307,medium
29_39.jpg,0.9191209454966479,1.4769093808326321,16328.322451978358,1487284.103881272,3.7451327614379086,580674525138.4911,13669.109578898593,580674525138.4911,12481.5882853929,1.0,20786.8096145042,medium
29_4.jpg,0.9182782659599973,1.4686097742573172,14948.812914983366,1483919.288381945,3.745563214869281,508462867745.00586,14619.46726380242,508462867745.00586,13317.054849684217,1.0,22276.075350852436,medium
29_40.jpg,0.9170969968811054,1.4877584134968664,14946.089262008163,1475299.0964582642,3.734534824346405,803951232314.6184,14202.085414746656,803951232314.6184,12918.357448495914,1.0,21925.596315455507,medium
29_5.jpg,0.9226496090537606,1.4405963322730806,14754.44336148294,1510664.0035689112,3.7705101102941176,327810533591.474,15615.913599727044,327810533591.474,14289.132749012972,1.0,23414.677552690486,medium
29_6.jpg,0.9202696255803671,1.4681217758025873,14892.842545905263,1494513.8764020756,3.7523983864379082,750920525106.7444,14805.76303226161,750920525106.7444,13540.32776242615,1.0,22357.722383043256,medium
29_7.jpg,0.9150526926630858,1.4966633772050186,15445.580769439848,1463635.0859667961,3.7245649509803918,679964952425.1702,14463.910200085898,679964952425.1702,13140.207508379111,1.0,22403.781912651004,medium
29_8.jpg,0.9191407365627415,1.4612150838305638,13530.203358912928,1489409.1519923212,3.7511989379084967,1137474036929.09,14354.33453992417,1137474036929.09,13092.633139753418,1.0,21735.011373648467,medium
