Image,FOS_Mean,FOS_Variance,FOS_Median,FOS_Mode,FOS_Skewness,FOS_Kurtosis,FOS_Energy,FOS_Entropy,FOS_MinimalGrayLevel,FOS_MaximalGrayLevel,FOS_CoefficientOfVariation,FOS_10Percentile,FOS_25Percentile,FOS_75Percentile,FOS_90Percentile,FOS_HistogramWidth,Label
48_28.jpg,115.76942919389978,1521.6155603958666,118.0,122.0,-0.27552630795734445,2.556563793939841,0.007252698363408348,5.07170919227382,0.0,254.0,0.09383116567851754,61.0,89.0,144.0,165.0,104.0,wet
48_29.jpg,119.7316204308884,1709.122756014316,121.0,140.0,-0.16458962211449948,2.5204823621561085,0.006782263002382447,5.136475939953131,0.0,255.0,0.09187213837425202,62.0,91.0,149.0,173.0,111.0,wet
48_3.jpg,119.90922149600581,1667.5041128522728,121.0,122.0,-0.15990169414096975,2.471136065396132,0.006836478819508345,5.121068301920696,0.0,250.0,0.09173606385532584,63.0,91.0,149.0,173.0,110.0,wet
48_30.jpg,116.8779264100702,1496.953365007188,121.0,150.0,-0.4128316255124314,2.5640698818955667,0.007413045965637242,5.048686075393375,0.0,227.0,0.09411529052462929,62.0,90.0,146.0,163.0,101.0,wet
48_31.jpg,117.43003582667635,1553.0252114513714,119.0,122.0,-0.2748688938841769,2.701567509794635,0.007227553141748845,5.086743725769921,0.0,255.0,0.09289541672912956,63.0,91.0,146.0,167.0,104.0,wet
48_32.jpg,114.65868942144759,1433.2232219206,117.0,140.0,-0.3255212603869145,2.567443424227549,0.0074987992258613865,5.037345823582082,0.0,255.0,0.09433784635923677,62.0,88.0,143.0,161.0,99.0,wet
48_33.jpg,117.68847155652384,1401.2744970307049,121.0,140.0,-0.444066630625912,2.799201370849726,0.007781515532376162,5.022076188614841,0.0,255.0,0.09346709881194167,65.0,93.0,144.0,163.0,98.0,wet
48_34.jpg,114.77825272331154,1456.9521470102304,117.0,140.0,-0.29767042118938347,2.6326478114640754,0.007482549865424647,5.051589305506781,0.0,239.0,0.09423957561426703,62.0,89.0,142.0,161.0,99.0,wet
48_35.jpg,120.05387944807553,1549.2026177803443,124.0,140.0,-0.40062232947661014,2.680409743477155,0.007365384364554193,5.073057199354832,0.0,234.0,0.09275442640299073,63.0,93.0,148.0,168.0,105.0,wet
48_36.jpg,120.36437133865891,1607.6533609982866,122.0,122.0,-0.25849029119319183,2.6418177574390658,0.00706031067201768,5.105717041625291,0.0,255.0,0.09176603420384156,65.0,93.0,150.0,170.0,105.0,wet
48_37.jpg,116.17740111353183,1658.41383462507,116.0,122.0,-0.11649089332784143,2.6149290143981974,0.006933867074796421,5.12272895587056,0.0,252.0,0.09270589211876015,62.0,88.0,144.0,170.0,108.0,wet
48_38.jpg,115.2677598644396,1472.9355665091443,117.0,122.0,-0.25464535235831187,2.527883568022476,0.007330280522756276,5.056931612120974,0.0,252.0,0.09383936878024585,62.0,88.0,143.0,164.0,102.0,wet
48_39.jpg,114.61361752602275,1497.612859012975,117.0,140.0,-0.3432256828423628,2.552360840096391,0.007330776480573488,5.056594525798823,0.0,255.0,0.09437494479166991,60.0,89.0,143.0,162.0,102.0,wet
48_4.jpg,114.85195642701525,1442.1638552381955,116.0,122.0,-0.26032783032267115,2.6521721918139685,0.007470311294924204,5.049513754607888,0.0,237.0,0.09377576098247145,63.0,90.0,142.0,163.0,100.0,wet
48_40.jpg,115.89978794480754,1564.2128037554567,117.0,122.0,-0.23849321064884815,2.4941661288063575,0.0070851288381047215,5.087042792070514,0.0,253.0,0.09332764121659093,61.0,88.0,145.0,166.0,105.0,wet
48_5.jpg,120.39299249576374,1496.6353339018508,121.0,122.0,-0.1847712305522596,2.7036246367014947,0.007389395762278474,5.071910219979535,0.0,255.0,0.09136744400125328,68.0,95.0,147.0,171.0,103.0,wet
48_6.jpg,117.29237327523603,1501.830599064321,118.0,122.0,-0.16031628349482427,2.722951433217612,0.0073438608861645036,5.077541349361356,0.0,255.0,0.09261284589842703,65.0,92.0,144.0,167.0,102.0,wet
48_7.jpg,116.09047736625514,1519.7202429793404,118.0,122.0,-0.3172107806273947,2.6188918783194888,0.007299020253954823,5.070925921169581,0.0,255.0,0.0935716756244279,61.0,90.0,144.0,165.0,104.0,wet
48_8.jpg,114.5297811667877,1444.9637755223423,115.0,122.0,-0.2082602932775651,2.6864673939018995,0.007455262375081019,5.0554730351734065,0.0,255.0,0.09363333436520514,62.0,88.0,142.0,162.0,100.0,wet
48_9.jpg,118.68872331154685,1265.9516605074336,121.0,122.0,-0.42910494351562023,2.9332692716051687,0.008210098019936638,4.977309386874289,0.0,222.0,0.0926794028369993,69.0,96.0,143.0,162.0,93.0,wet
49_1.jpg,121.03012055192448,1613.35415334523,122.0,122.0,-0.23830132993495853,2.6847502469350473,0.0070598409585470685,5.108440941040715,0.0,255.0,0.09126125766724795,66.0,94.0,150.0,171.0,105.0,wet
49_10.jpg,113.10898571774389,1572.1208432296596,114.0,122.0,-0.09681419802381507,2.7540786547714298,0.00721961479625068,5.1010070788338995,0.0,255.0,0.09439637517991069,59.0,86.0,140.0,163.0,104.0,wet
49_11.jpg,111.32301863955459,1598.9509270679587,111.0,101.0,-0.09006046774270217,2.592354531640737,0.0070523344664606465,5.106075894955359,0.0,255.0,0.09464038867797353,57.0,84.0,139.0,163.0,106.0,wet
49_12.jpg,112.72382038247397,1567.6471343667326,113.0,101.0,-0.16559950116230732,2.504075072921226,0.007062213304873006,5.089399988377873,0.0,255.0,0.09430256867329702,59.0,85.0,141.0,165.0,106.0,wet
49_13.jpg,113.80610602759621,1540.035593764712,115.0,140.0,-0.22463870987474885,2.5673633059303818,0.007191846136582011,5.082223524727202,0.0,255.0,0.09422873402032797,59.0,86.0,142.0,162.0,103.0,wet
49_14.jpg,111.82227741466957,1547.2885938074503,114.0,122.0,-0.2386880808879701,2.4723115593202727,0.007121595031186629,5.080981616188068,0.0,255.0,0.09548256840126405,57.0,84.0,140.0,161.0,104.0,wet
49_15.jpg,114.38141757443718,1660.6257132552316,115.0,122.0,-0.01950368076162761,2.6597777415295623,0.006937136828419025,5.128706314526238,0.0,255.0,0.0937547857175731,59.0,86.0,142.0,166.0,107.0,wet
