Image,GLCM_ASM_Mean,GLCM_Contrast_Mean,GLCM_Correlation_Mean,GLCM_SumOfSquaresVariance_Mean,GLCM_InverseDifferenceMoment_Mean,GLCM_SumAverage_Mean,GLCM_SumVariance_Mean,GLCM_SumEntropy_Mean,GLCM_Entropy_Mean,GLCM_DifferenceVariance_Mean,GLCM_DifferenceEntropy_Mean,GLCM_Information1_Mean,GLCM_Information2_Mean,GLCM_MaximalCorrelationCoefficient_Mean,GLCM_ASM_Range,GLCM_Contrast_Range,GLCM_Correlation_Range,GLCM_SumOfSquaresVariance_Range,GLCM_InverseDifferenceMoment_Range,GLCM_SumAverage_Range,GLCM_SumVariance_Range,GLCM_SumEntropy_Range,GLCM_Entropy_Range,GLCM_DifferenceVariance_Range,GLCM_DifferenceEntropy_Range,GLCM_Information1_Range,GLCM_Information2_Range,GLCM_MaximalCorrelationCoefficient_Range,Label
35_14.jpg,0.00010203686803723241,364.92646606324405,0.9218850771771767,2334.017042785372,0.08048624114669332,251.01460586482725,8971.14170507823,8.58652016008932,13.720691521284007,0.00012108975379724787,5.2137248959435745,-0.19843965589315932,0.9719404336943764,7.149973586745564,6.613328375259709e-05,379.3315312100609,0.08089953418640072,34.85947410650988,0.05228014611107924,2.788914746695667,385.1389808927197,0.029346861969150595,0.960644429373815,8.006461629116473e-05,0.9466898007880493,0.12607447174681696,0.03766826879714491,1.4687874945446682,medium
35_15.jpg,0.0001077781821162574,363.92224437338547,0.9172794914998051,2197.7612185643247,0.08228565092261554,253.88717065920193,8427.122629883896,8.543446671918456,13.666578198260067,0.00012258000133360056,5.204690541384978,-0.19545631817276587,0.9700047368880232,7.127068430162391,6.500474113701712e-05,380.96329700265017,0.08625728536065358,34.99858603343819,0.05903842610159024,2.7481311413142464,379.83249223366147,0.03079847027830951,0.9302465197068059,8.446238594543161e-05,0.9157693792814721,0.12279356087357515,0.04089501471820389,1.6947467410854484,medium
35_16.jpg,0.00010710444241769892,383.47217376492995,0.9149646027655182,2253.380791265854,0.08052127597700792,260.57209595980953,8630.05099129847,8.55586031875399,13.708777897552094,0.00011948992396316295,5.240347004142033,-0.19276994775796652,0.9689451898793549,7.238020601565181,7.270498306405627e-05,426.33670910290346,0.09421626640923064,29.92994267687027,0.05009539158155603,2.6071784403520724,425.5008873218176,0.03195874042478941,1.0118531607175925,8.592189140047689e-05,1.0198416903214431,0.13333913092956243,0.04399219779184038,1.5818184951072176,medium
35_17.jpg,0.00010903278063510133,366.6533143420732,0.9136766545385565,2121.8430399551285,0.08017453170210255,248.34581016592514,8120.718845478427,8.523454919107989,13.663330995291187,0.00011963878762452603,5.224141279126149,-0.19133088797563666,0.9679099452164835,7.153852942720042,6.936551501541741e-05,397.6378610924879,0.09325467613841643,35.48634199145454,0.052294099002696166,2.93255476423451,404.7848831956435,0.03365984489793128,0.9671800796536729,7.894998860790518e-05,0.950791856617978,0.12803926476916988,0.04547387457856855,1.421779183381882,medium
35_18.jpg,8.706679847285803e-05,459.0770469276326,0.9228381354569467,2971.1432496677444,0.07188238569445386,267.31851255444576,11425.495951743324,8.740998994433534,14.02121980615657,0.00010415283526257707,5.3879287834098335,-0.19389310733767237,0.9710010963066872,7.651015283105428,7.508929214321028e-05,428.80289884969216,0.07136556298989416,43.0625366902932,0.0686383420100622,2.7488702556153726,427.0866086146998,0.02160970616073321,0.8507049524489503,9.344510701565156e-05,0.8636242889436074,0.10715631750884799,0.03903067133366067,2.168075396184113,medium
35_19.jpg,0.00011141647924816087,377.2746078267438,0.9099344686890952,2092.8052995483745,0.07979478242058856,256.4856501201562,7993.946590366745,8.509902147539051,13.65508158780248,0.00011924695762239947,5.234239850483032,-0.18927974077213355,0.9667079265631864,7.201133156384932,7.422617420060242e-05,406.515623811286,0.09664306303472125,34.78835396416798,0.05261701031958896,2.668519001494758,415.20378977520886,0.03277360241305871,0.981919848422816,8.268243407877843e-05,0.9834323531020193,0.13019367973358198,0.04540994782283925,1.543590443871123,medium
35_2.jpg,0.00010727379404655908,382.53148965543573,0.9112757918585681,2154.3970520875637,0.0796693243238466,250.19965265541128,8235.056718694808,8.537850682444347,13.704936393941269,0.00011900632536621744,5.240850857399275,-0.18952681791452988,0.9670934099606386,7.151731288450248,6.739685229737755e-05,399.1404831724838,0.09228332002451001,28.74711090331766,0.05465940199590952,2.688078308678172,401.44237046522903,0.033045194887684204,0.9672800558555714,8.00660382219518e-05,0.9696639267423359,0.1277817402188157,0.0442209452608201,1.6167140326699618,medium
35_20.jpg,9.974983933190343e-05,374.12929232921977,0.9211682896302414,2370.5605955292976,0.07843344640917106,245.4080278950485,9108.113089787963,8.599159357173233,13.755249968946668,0.00011795374245365659,5.241015780581985,-0.19671816523024008,0.9712478649553705,7.2735400424985155,6.0606540126983946e-05,370.08644508115424,0.077720770983559,38.5903440264392,0.056262450010756256,3.1162477285723185,375.014647362761,0.02757068198488888,0.862588766875426,8.250082323810837e-05,0.853653701589999,0.11313042760817701,0.03769983986057612,1.7275160222699313,medium
35_21.jpg,0.00010254681788735203,398.8153601141999,0.9135332903228477,2304.7623510174208,0.07917820053284332,260.53705364579554,8820.23404395547,8.58072263772334,13.754834349078696,0.00011718954546313997,5.26477344171076,-0.19293630671542092,0.9693005881919194,7.255286898933913,6.795558690424971e-05,431.7110206465692,0.09327710511481513,32.510458551907504,0.05014574652782702,2.88118244436896,433.6762777938857,0.03312761850988721,1.0165054207944024,8.020995799655923e-05,1.001105863289796,0.13352459711471643,0.04201413650601682,1.5567091331534506,medium
35_22.jpg,9.377029168527244e-05,456.507829207899,0.9023371365690449,2335.415583505025,0.07338743124867243,257.3488785687523,8885.154504812179,8.581084256398297,13.863032548253454,0.00010814670947325878,5.367594172029938,-0.17979115937753484,0.9624399930411192,7.427064924496235,6.20109187065778e-05,475.83348232649087,0.1014223798280609,36.60089490550672,0.05112804646415548,3.2145520479141396,479.75644835199637,0.036049101912601245,0.9705434429421196,7.43683089795998e-05,0.9656400151103535,0.12744794257965766,0.0506015042930853,1.5156661756629806,medium
