Image,LBP_R_1_P_8_energy,LBP_R_1_P_8_entropy,LBP_R_2_P_16_energy,LBP_R_2_P_16_entropy,LBP_R_3_P_24_energy,LBP_R_3_P_24_entropy,Label
51_41.jpg,6.416568523194177,-1.7727163955577616,14.361838696840184,-2.6017534233349395,22.67306356751336,-3.077651649199775,wet
51_42.jpg,6.46413944985978,-1.7804551537736593,14.468116585250225,-2.611022977226617,22.806438277588025,-3.0858027333543463,wet
51_43.jpg,6.4609072012996664,-1.7798250275276422,14.482534129252372,-2.6121365205533826,22.817831825439065,-3.086275960563308,wet
51_44.jpg,6.44120107559008,-1.7768680214183654,14.40780629578754,-2.606112095759843,22.70924168442538,-3.0802731707260094,wet
51_45.jpg,6.480633009840057,-1.7833698515530554,14.487459871471588,-2.6128681091357624,22.81413758045238,-3.086234248666399,wet
51_46.jpg,6.470738144525493,-1.7817529864320694,14.458515625114766,-2.6102984109177036,22.785033827970352,-3.084475149617385,wet
51_47.jpg,6.460174477526646,-1.7797864569686768,14.417214784127783,-2.606909787733779,22.724383498916378,-3.080984739319474,wet
51_48.jpg,6.494508228530169,-1.785287419476024,14.509346449883578,-2.6142838962775112,22.844199675385017,-3.0877050569535696,wet
51_49.jpg,6.505222460396651,-1.7870479339925216,14.541887546939188,-2.6173563583860124,22.900861589624913,-3.091182237419788,wet
51_5.jpg,6.495007999351952,-1.785865590846611,14.466986642941597,-2.6113733467402227,22.750844414108972,-3.0831338268536257,wet
51_50.jpg,6.444454933366294,-1.777269449185655,14.436340401196034,-2.608080662407061,22.76831291377588,-3.083083531284019,wet
51_51.jpg,6.456084059908976,-1.7789770726746528,14.42405770739258,-2.607157032038287,22.764089037857207,-3.0829852157737196,wet
51_52.jpg,6.4610839979609285,-1.780255063307554,14.40645832596418,-2.6058730757861754,22.713126700921237,-3.080328274552987,wet
51_53.jpg,6.443679971488695,-1.7767442319458702,14.425442627013265,-2.606649076841208,22.77697571658583,-3.0833422888903628,wet
51_54.jpg,6.4527462698703095,-1.7787763479388619,14.36153535076434,-2.602093845263784,22.667410660457488,-3.0777224832456844,wet
51_55.jpg,6.456727775762465,-1.7794337100257756,14.38918134460659,-2.6043031626206115,22.695156467439787,-3.0792565936017016,wet
51_56.jpg,6.45993308516938,-1.779850563519323,14.435885832650474,-2.6083091489566286,22.75083804850604,-3.082415429187116,wet
51_57.jpg,6.513818697715903,-1.789059748405626,14.508580739813269,-2.6146335984724245,22.820484202035704,-3.0865622581739327,wet
